Index,Date,GAME_ID,Visiting,Home,Period,Time,Challenging Team,Challenge Type,Additional Challenge Type,Successful/Unsuccessful,Link,Challenging Coach,Challenging Coach Years Experience,Challenging Coach Current Year Win Percentage,Challenging Coach Career Win Percentage,Official #1,Official #2,Official #3,Replay Center Officials,L2M Reviewed,L2M Reviewed Challenge,L2M Reviewed/Challenge Call Match,L2M Reviewed Decision,L2M Reviewed Comment,Visiting Score,Home Score,Committing Player,Disadvantaged Player,Committing Team,Disadvantaged Team,EVENTNUM,EVENTMSGTYPE,EVENTMSGACTIONTYPE,PERIOD,WCTIMESTRING,PCTIMESTRING,HOMEDESCRIPTION,NEUTRALDESCRIPTION,VISITORDESCRIPTION,SCORE,SCOREMARGIN,PERSON1TYPE,PLAYER1_ID,PLAYER1_NAME,PLAYER1_TEAM_ID,PLAYER1_TEAM_CITY,PLAYER1_TEAM_NICKNAME,PLAYER1_TEAM_ABBREVIATION,PERSON2TYPE,PLAYER2_ID,PLAYER2_NAME,PLAYER2_TEAM_ID,PLAYER2_TEAM_CITY,PLAYER2_TEAM_NICKNAME,PLAYER2_TEAM_ABBREVIATION,PERSON3TYPE,PLAYER3_ID,PLAYER3_NAME,PLAYER3_TEAM_ID,PLAYER3_TEAM_CITY,PLAYER3_TEAM_NICKNAME,PLAYER3_TEAM_ABBREVIATION,VIDEO_AVAILABLE_FLAG
0,20191022,21900001,NOP,TOR,3,2:41,NOP,Foul,Loose Ball Foul Challenge,Unsuccessful,http://dmmx2.nba.com/videourlredirect?&project=/bbops/bbops_NOP_TOR_New_Orleans_Loose_Ball_Foul_Challenge_102219,Alvin Gentry,17,0.438,0.463,Tony Brown,Eric Dalen,Josh Tiven,,No,,,,,nan,nan,OG Anunoby,nan,TOR,nan,507,2,1,3,9:47 PM,2:41,MISS Anunoby 26' 3PT Jump Shot,,,nan,,4,1628384,OG Anunoby,1610612761,Toronto,Raptors,TOR,0,0,nan,,,,nan,0,0,,,,,,1
1,20191022,21900001,NOP,TOR,1,2:44,TOR,Foul,Offensive Foul Challenge,Unsuccessful,http://dmmx2.nba.com/videourlredirect?&project=/bbops/bbops_NOP_TOR_Toronto_Offensive_Foul_Challenge_102219,Nick Nurse,2,0.719,0.712,Tony Brown,Eric Dalen,Josh Tiven,,No,,,,,nan,nan,Norman Powell,Josh Hart,TOR,NOP,133,6,4,1,8:26 PM,2:44,Powell OFF.Foul (P1) (E.Dalen),,,nan,,4,1626181,Norman Powell,1610612761,Toronto,Raptors,TOR,5,1628404,Josh Hart,1610612740,New Orleans,Pelicans,NOP,1,0,,,,,,1
2,20191022,21900001,NOP,TOR,1,2:44,TOR,Foul,Offensive Foul Challenge,Unsuccessful,http://dmmx2.nba.com/videourlredirect?&project=/bbops/bbops_NOP_TOR_Toronto_Offensive_Foul_Challenge_102219,Nick Nurse,2,0.719,0.712,Tony Brown,Eric Dalen,Josh Tiven,,No,,,,,nan,nan,Norman Powell,nan,TOR,nan,135,5,37,1,8:26 PM,2:44,Powell Offensive Foul Turnover (P1.T6),,,nan,,4,1626181,Norman Powell,1610612761,Toronto,Raptors,TOR,0,0,nan,,,,nan,1,0,,,,,,1
3,20191022,21900001,NOP,TOR,1,2:44,TOR,Foul,Offensive Foul Challenge,Unsuccessful,http://dmmx2.nba.com/videourlredirect?&project=/bbops/bbops_NOP_TOR_Toronto_Offensive_Foul_Challenge_102219,Nick Nurse,2,0.719,0.712,Tony Brown,Eric Dalen,Josh Tiven,,No,,,,,nan,nan,nan,nan,nan,nan,136,9,1,1,8:27 PM,2:44,RAPTORS Timeout: Regular (Full 2 Short 0),,,nan,,2,1610612761,nan,,,,nan,0,0,nan,,,,nan,0,0,,,,,,0
4,20191022,21900001,NOP,TOR,1,2:44,TOR,Foul,Offensive Foul Challenge,Unsuccessful,http://dmmx2.nba.com/videourlredirect?&project=/bbops/bbops_NOP_TOR_Toronto_Offensive_Foul_Challenge_102219,Nick Nurse,2,0.719,0.712,Tony Brown,Eric Dalen,Josh Tiven,,No,,,,,22,25,David Wesley,nan,nan,nan,137,18,4,1,8:27 PM,2:44,,,,22 - 25,3,0,133,David Wesley,,,,nan,0,0,nan,,,,nan,1,0,,,,,,0
5,20191022,21900001,NOP,TOR,1,2:44,TOR,Foul,Offensive Foul Challenge,Unsuccessful,http://dmmx2.nba.com/videourlredirect?&project=/bbops/bbops_NOP_TOR_Toronto_Offensive_Foul_Challenge_102219,Nick Nurse,2,0.719,0.712,Tony Brown,Eric Dalen,Josh Tiven,,No,,,,,nan,nan,Fred VanVleet,Kyle Lowry,TOR,TOR,138,8,0,1,8:28 PM,2:44,SUB: Lowry FOR VanVleet,,,nan,,4,1627832,Fred VanVleet,1610612761,Toronto,Raptors,TOR,4,200768,Kyle Lowry,1610612761,Toronto,Raptors,TOR,0,0,,,,,,0
6,20191022,21900002,LAL,LAC,1,4:56,LAL,Foul,Defensive Foul Challenge,Unsuccessful,http://dmmx2.nba.com/videourlredirect?&project=/bbops/bbops_LAL_LAC_LA_Lakers_Defensive_Foul_Challenge_102219,Frank Vogel,9,0.778,0.536,Mark Lindsay,Kane Fitzgerald,Dedric Taylor,,No,,,,,nan,nan,Dwight Howard,Lou Williams,LAL,LAC,102,6,1,1,11:00 PM,4:56,,,Howard P.FOUL (P1.T3) (K.Fitzgerald),nan,,5,2730,Dwight Howard,1610612747,Los Angeles,Lakers,LAL,4,101150,Lou Williams,1610612746,LA,Clippers,LAC,1,0,,,,,,1
7,20191022,21900002,LAL,LAC,1,4:56,LAL,Foul,Defensive Foul Challenge,Unsuccessful,http://dmmx2.nba.com/videourlredirect?&project=/bbops/bbops_LAL_LAC_LA_Lakers_Defensive_Foul_Challenge_102219,Frank Vogel,9,0.778,0.536,Mark Lindsay,Kane Fitzgerald,Dedric Taylor,,No,,,,,nan,nan,nan,nan,nan,nan,106,9,1,1,11:00 PM,4:56,,,Lakers Timeout: Regular (Reg.1 Short 0),nan,,3,1610612747,nan,,,,nan,0,0,nan,,,,nan,0,0,,,,,,1
8,20191022,21900002,LAL,LAC,1,4:56,LAL,Foul,Defensive Foul Challenge,Unsuccessful,http://dmmx2.nba.com/videourlredirect?&project=/bbops/bbops_LAL_LAC_LA_Lakers_Defensive_Foul_Challenge_102219,Frank Vogel,9,0.778,0.536,Mark Lindsay,Kane Fitzgerald,Dedric Taylor,,No,,,,,17,8,nan,nan,nan,nan,107,18,4,1,11:01 PM,4:56,,,,17 - 8,-9,0,102,nan,,,,nan,0,0,nan,,,,nan,1,0,,,,,,0
9,20191022,21900002,LAL,LAC,1,4:56,LAL,Foul,Defensive Foul Challenge,Unsuccessful,http://dmmx2.nba.com/videourlredirect?&project=/bbops/bbops_LAL_LAC_LA_Lakers_Defensive_Foul_Challenge_102219,Frank Vogel,9,0.778,0.536,Mark Lindsay,Kane Fitzgerald,Dedric Taylor,,No,,,,,nan,nan,Danny Green,Troy Daniels,LAL,LAL,108,8,0,1,11:03 PM,4:56,,,SUB: Daniels FOR Green,nan,,5,201980,Danny Green,1610612747,Los Angeles,Lakers,LAL,5,203584,Troy Daniels,1610612747,Los Angeles,Lakers,LAL,0,0,,,,,,0
